date,ip1,ip2,ip3,ip4,ip5
2024/4/10 21:00,0,4153275318,1807693.824,3510593575,511696.896
2024/4/10 22:00,0,2121081553,1808351.232,2766315547,573293.568
2024/4/10 23:00,0,1502712839,1355949.056,1789296047,651413.504
2024/4/11 0:00,9270.272,653130812.4,810129.408,958946498.6,666742.784
2024/4/11 1:00,0,296956101.6,196080.64,618699422.7,690040.832
2024/4/11 2:00,0,253307580.4,53152.768,795749612.5,688502.784
2024/4/11 3:00,0,130335313.9,0,812574432.3,674296.832
2024/4/11 4:00,0,253717484.5,23921.664,513507576.8,701459.456
2024/4/11 5:00,0,653230022.7,106172.416,751748613.1,692627.456
2024/4/11 6:00,0,1493783760,272952.32,629222702.7,612692.992
2024/4/11 7:00,0,1933080265,1045667.84,768508013.6,457657.344
2024/4/11 8:00,0,10544914366,2292494.336,1446905284,363437.056
2024/4/11 9:00,0,28927089181,5043099.648,2697616756,199989.248
2024/4/11 10:00,0,24979975438,4380370.944,2758230672,232540.16
2024/4/11 11:00,0,15196256993,2339975.168,2471647349,261935.104
2024/4/11 12:00,0,8963420586,2620748.8,2181363773,351404.032
2024/4/11 13:00,0,12990034215,3368992.768,2230056159,308911.104
2024/4/11 14:00,0,23987521323,3598960.64,3139421647,188232.704
2024/4/11 15:00,2384.672,28882208031,2122249.216,5107095201,235060.224
2024/4/11 16:00,0,22521715884,2001622.016,8034281299,199362.56
2024/4/11 17:00,1377.28,13130285449,2169175.04,1626865684,196071.424
2024/4/11 18:00,0,9503906988,2035776.512,739692668.9,281329.664
2024/4/11 19:00,0,10454378217,3184415.744,1086145930,310862.848
2024/4/11 20:00,0,6675786367,2395063.296,1108375434,429863.936
2024/4/11 21:00,0,4809825452,1979820.032,1241747145,388355.072
2024/4/11 22:00,0,3321928614,1308515.328,790077715.5,477962.24
2024/4/11 23:00,0,1561422987,831560.704,737258385.4,541015.04
2024/4/12 0:00,0,530637818.9,649075.712,636076742.7,642868.224
2024/4/12 1:00,0,299588534.3,199523.328,498424031.2,614585.344
2024/4/12 2:00,0,117306023.9,55732.224,499664041,674637.824
2024/4/12 3:00,0,139346194.4,148328.448,644840224.8,649803.776
2024/4/12 4:00,0,354903512.1,54289.408,427824576.5,682834.944
2024/4/12 5:00,0,519640848.4,171247.616,487493206,665125.888
2024/4/12 6:00,0,1266491064,443058.176,613810030.6,563140.608
2024/4/12 7:00,0,1960583365,1308116.992,686594143.2,499858.432
2024/4/12 8:00,0,10429622387,3247967.232,1656695430,333405.184
2024/4/12 9:00,0,27700001505,6427410.432,2744975344,288542.72
2024/4/12 10:00,0,26613508997,5177384.96,1804518923,217070.592
2024/4/12 11:00,0,15105931608,4224673.792,2423589107,313748.48
2024/4/12 12:00,2937.856,6458591674,3408321.536,1306425245,337116.16
2024/4/12 13:00,0,11288103092,3508734.976,2783660872,325083.136
2024/4/12 14:00,983,29474934489,4309798.912,2866028898,214898.688
2024/4/12 15:00,948,25436713124,2711310.336,2780122784,242903.04
2024/4/12 16:00,0,21008676291,3054136.32,3583141815,266072.064
2024/4/12 17:00,1101.824,9395578601,1968070.656,2101316536,259132.416
2024/4/12 18:00,0,6532113629,2442595.328,476243933.2,307438.592
2024/4/12 19:00,0,5080405246,2679809.024,992387552.3,340686.848
2024/4/12 20:00,0,5028195598,2287735.808,1358056873,373100.544
2024/4/12 21:00,0,3895555260,2255816.704,1473673693,381717.504
2024/4/12 22:00,0,2591776834,1745286.144,552712416.3,449399.808
2024/4/12 23:00,0,1202438525,1394617.344,815647117.9,615431.168
