0,1,2,3,4
11589569.11,3226527072,3935425.536,621315783.5,2962313.216
11827297.3,1549472367,3976748.032,262278518.2,2936415.232
12017197.72,1248667369,4000448.512,155303444.5,4080542.72
11635863.01,1294060225,5005436.928,99093023.92,4472891.392
11565349.46,762408075.3,5014846.464,32050406.96,6200070.144
11572384.03,541661855.7,3879898.112,36420130.69,5591710.72
11536309.5,399505358.8,2709281.792,52859414.35,6860746.752
11425122.98,174069788.7,1661471.744,20344322.27,7706127.36
11522939.86,78022598.66,1254487.04,18629970.8,9086985.216
11604952.06,33530001.41,276045.824,23882068.53,8614567.936
11658241.54,20274194.43,108821.504,17186706.3,9462617.088
11468323.33,16753144.83,135913.472,18223688.22,9118065.664
11483308.8,30058661.89,124615.68,14364118.05,9561177.088
11509228.02,73397905.41,268105.728,13976750.32,9300998.144
11574923.7,163770159.1,856288.256,22323114.61,7928138.752
11403755.71,276518755.3,2658314.24,29474934.86,7073868.8
11454935.54,1548239241,6836219.904,132072823.3,4842299.392
11452869.55,4341332181,10549866.5,413109168.3,4295663.616
11598934.02,3950157758,9681970.176,587860929.2,3231459.328
11565803.52,2152010351,7740269.568,209346879.5,4720950.272
11513424.64,859267137.5,6574733.312,180013036.1,5052683.264
11425210.37,1624253661,6177264.64,178424070.1,4814473.216
12163067.21,3498533978,7378585.6,666110010,3205707.776
11854614.71,3158223880,4829603.84,712575441.9,3703878.656
11769026.56,2827942363,5038704.64,395360716.8,4049755.136
11658090.87,1279237554,3741869.056,310928012.4,3893023.744
11635386.47,887764287.5,4924018.688,48587916.29,4584782.848
11539802.23,792243208.2,4883949.568,29441593.34,4972837.888
11586992.13,600939954.2,4729055.232,64428474.37,5563367.424
11582869.69,491817795.6,3978479.616,78393771.62,5879497.728
11579702.19,323115548.7,3337716.736,74918245.02,6413195.264
11547785.66,166907812.9,2708133.888,21868434.53,8722907.136
